af afr
sq sqi
am amh
ar ara
an arg
hy hye
az aze
ba bak
eu eus
be bel
bn ben
bs bos
bg bul
my mya
ca cat
zh zho
cs ces
da dan
nl nld
en eng
eo epo
et est
fi fin
fr fra
gd gla
ka kat
de deu
el ell
gn grn
gu guj
hi hin
hu hun
io ido
id ind
ia ina
it ita
ja jpn
kk kaz
km khm
ko kor
ku kur
la lat
lt lit
lb ltz
mk mkd
mt mlt
nb nob
no nob
or ori
fa fas
pl pol
pt por
ro ron
ru rus
sa san
sr srp
sd snd
sk slk
sl slv
es spa
sw swa
sv	swe
tl	tgl
ta tam
tt tat
th tha
tr tur
tk tuk
uk ukr
vi vie
cy cym
is isl
ga gle
gl glg
se sme
yue yue
