af afr
sq sqi
am amh
ar ara
an arg
hy arm-e
az aze
ba bak
eu eus
be bel
bn ben
bs bos
bg bul
my bur
ca cat
zh zho-s
cs cze
da dan
nl dut
en eng-us
eo epo
et est
fi fin
fr fra
gd gla
ka geo
de ger
el gre
gn grn
gu guj
hi hin
hu hun
io ido
id ind
ia ina
it ita
ja jpn
kk kaz
km khm
ko kor
ku kur
la lat-clas
lt lit
lb ltz
mk mac
mt mlt
nb nob
no nob
or ori
fa fas
pl pol
pt por-po
ro ron
ru rus
sa san
sr srp
sd snd
sk slo
sl slv
es spa
sw swa
sv	swe
tl	tgl
ta tam
tt tat
th tha
tr tur
tk tuk
uk ukr
vi vie-c
cy wel-nw
is ice
ga gle
gl glg
se sme
yue yue
